Sentence_ID,Word_ID,Word,Annotator1,Annotator2,Agreed_Label,Revised_Label
3,13,إن,O,O,O,O
3,14,البشرية,O,O,O,O
3,15,وصلت,O,O,O,O
3,16,إلى,O,O,O,O
3,17,حد,O,O,O,O
3,18,التمزق,O,O,O,O
3,19,من,O,O,O,O
3,20,خلال,O,O,O,O
3,21,الحروب,O,O,O,O
3,22,والفقر,O,O,O,O
3,23,،,O,O,O,O
3,24,وليس,O,O,O,O
3,25,هناك,O,O,O,O
3,26,من,O,O,O,O
3,27,أصوات,O,O,O,O
3,28,تتضافر,O,O,O,O
3,29,لأن,O,O,O,O
3,30,توقف,O,O,O,O
3,31,هذا,O,O,O,O
3,32,الدمار,O,O,O,O
3,33,الإنساني,O,O,O,O
3,34,،,O,O,O,O
3,35,فالأرض,O,O,O,O
3,36,تنكمش,O,O,O,O
3,37,بما,O,O,O,O
3,38,يحدث,O,O,O,O
3,39,من,O,O,O,O
3,40,تضييق,O,O,O,O
3,41,على,O,O,O,O
3,42,البشرية,O,O,O,O
3,43,فيما,O,O,O,O
3,44,يؤمنون,O,O,O,O
3,45,وفيما,O,O,O,O
3,46,يختارون,O,O,O,O
3,47,وفيما,O,O,O,O
3,48,يرغبون,O,O,O,O
3,49,،,O,O,O,O
3,50,وكل,O,O,O,O
3,51,ما,O,O,O,O
3,52,يحدث,O,O,O,O
3,53,من,O,O,O,O
3,54,صراعات,O,O,O,O
3,55,لا,O,O,O,O
3,56,يؤدي,O,O,O,O
3,57,إلى,O,O,O,O
3,58,شيء,O,O,O,O
3,59,سوى,O,O,O,O
3,60,حرق,O,O,O,O
3,61,الأرض,O,O,O,O
3,62,بالمستضعفين,O,O,O,O
3,63,من,O,O,O,O
3,64,عباد,O,O,O,O
3,65,الله,B_MIS,O,B_MIS,B_MIS
3,66,.,O,O,O,O
4,67,سأل,O,O,O,O
4,68,السفير,B_TIT,B_TIT,B_TIT,B_TIT
4,69,السوفيتي,I_TIT,I_TIT,I_TIT,I_TIT
4,70,الرئيس,B_TIT,B_TIT,B_TIT,B_TIT
4,71,القبرصي,I_TIT,I_TIT,I_TIT,I_TIT
4,72,ماكاريوس,B_PER,B_PER,B_PER,B_PER
4,73,ذات,O,O,O,O
4,74,مرة,O,O,O,O
4,75,عن,O,O,O,O
4,76,سبب,O,O,O,O
4,77,بقاء,O,O,O,O
4,78,الأسد,B_MIS,O,B_MIS,B_MIS
4,79,البريطاني,I_MIS,O,I_MIS,I_MIS
4,80,فوق,O,O,O,O
4,81,مدخل,O,O,O,O
4,82,القصر,O,O,O,O
4,83,الرئاسي,O,O,O,O
4,84,بعد,O,O,O,O
4,85,الاستقلال,O,O,O,O
4,86,.,O,O,O,O
5,87,فقد,O,O,O,O
5,88,يزور,O,O,O,O
5,89,أحدهم,O,O,O,O
5,90,مكانا,O,O,O,O
5,91,مؤهلا,O,O,O,O
5,92,ليكون,O,O,O,O
5,93,تراثا,O,O,O,O
5,94,عالميا,O,O,O,O
5,95,فقط,O,O,O,O
5,96,ل,O,O,O,O
5,97,«,O,O,O,O
5,98,يكشت,O,O,O,O
5,99,على,O,O,O,O
5,100,تيس,O,O,O,O
5,101,مشوي,O,O,O,O
5,102,»,O,O,O,O
5,103,وينهي,O,O,O,O
5,104,حفلة,O,O,O,O
5,105,الشواء,O,O,O,O
5,106,بتشويه,O,O,O,O
5,107,تلك,O,O,O,O
5,108,النقوشات,O,O,O,O
5,109,والمنحوتات,O,O,O,O
5,110,الضاربة,O,O,O,O
5,111,بعمق,O,O,O,O
5,112,جذورها,O,O,O,O
5,113,في,O,O,O,O
5,114,آلاف,O,O,O,O
5,115,السنين,O,O,O,O
5,116,،,O,O,O,O
5,117,ببخاخ,O,O,O,O
5,118,أحمر,O,O,O,O
5,119,يعبر,O,O,O,O
5,120,به,O,O,O,O
5,121,عن,O,O,O,O
5,122,مشاعره,O,O,O,O
5,123,لمحبوبته,O,O,O,O
5,124,بقلب,O,O,O,O
5,125,يخترقه,O,O,O,O
5,126,سهم,O,O,O,O
5,127,ويكملها,O,O,O,O
5,128,ب,O,O,O,O
5,129,«,O,O,O,O
5,130,الحب,O,O,O,O
5,131,عذاب,O,O,O,O
5,132,»,O,O,O,O
5,133,.,O,O,O,O
6,134,تعجبت,O,O,O,O
6,135,منها,O,O,O,O
6,136,وسائل,O,O,O,O
6,137,إعلام,O,O,O,O
6,138,أجنبية,O,O,O,O
6,139,بعنوان,O,O,O,O
6,140,«,O,O,O,O
6,141,البروفايل,O,O,O,O
6,142,العجيب,O,O,O,O
6,143,لبعض,O,O,O,O
6,144,أعضاء,O,O,O,O
6,145,محكمة,O,O,O,O
6,146,فيسبوك,B_ORG,N,B_ORG,B_ORG
6,147,»,O,O,O,O
6,148,كمجلة,O,O,O,O
6,149,«,O,O,O,O
6,150,فالير,B_ORG,B_ORG,B_ORG,B_ORG
6,151,آكتييل,I_ORG,I_ORG,I_ORG,I_ORG
6,152,»,O,O,O,O
6,153,الفرنسية,O,O,O,O
6,154,التي,O,O,O,O
6,155,استنكرت,O,O,O,O
6,156,هذا,O,O,O,O
6,157,الفعل,O,O,O,O
6,158,المشين,O,O,O,O
6,159,من,O,O,O,O
6,160,إدارة,O,O,B_ORG,B_ORG
6,161,الفيسبوك,B_ORG,N,I_ORG,I_ORG
6,162,،,O,O,O,O
6,163,والعالم,O,O,O,O
6,164,يعرف,O,O,O,O
6,165,أنها,O,O,O,O
6,166,فتاة,O,O,O,O
6,167,مشهورة,O,O,O,O
6,168,بانحيازها,O,O,O,O
6,169,وانتمائها,O,O,O,O
6,170,الواضح,O,O,O,O
6,171,لجماعة,O,O,B_ORG,B_ORG
6,172,الإخوان,B_ORG,O,I_ORG,I_ORG
6,173,الإرهابية,I_ORG,O,O,O
6,174,،,O,O,O,O
6,175,وكأن,O,O,O,O
6,176,ذلك,O,O,O,O
6,177,إثبات,O,O,O,O
6,178,لوجود,O,O,O,O
6,179,ثغرة,O,O,O,O
6,180,في,O,O,O,O
6,181,نظام,O,O,O,O
6,182,عمل,O,O,O,O
6,183,فيسبوك,B_ORG,N,B_ORG,B_ORG
6,184,؛,O,O,O,O
6,185,إذ,O,O,O,O
6,186,لا,O,O,O,O
6,187,تعترف,O,O,O,O
6,188,الشبكة,O,O,O,O
6,189,بالربط,O,O,O,O
6,190,بين,O,O,O,O
6,191,الدفاع,O,O,O,O
6,192,عن,O,O,O,O
6,193,أفكار,O,O,O,O
6,194,الإخوان,B_ORG,O,B_ORG,B_ORG
6,195,والترويج,O,O,O,O
6,196,للآراء,O,O,O,O
6,197,الإرهابية,O,O,O,O
6,198,.,O,O,O,O
7,199,أشارت,O,O,O,O
7,200,دراسة,O,O,O,O
7,201,إلى,O,O,O,O
7,202,أن,O,O,O,O
7,203,الأطفال,O,O,O,O
7,204,الذين,O,O,O,O
7,205,يقاتلون,O,O,O,O
7,206,بعضا,O,O,O,O
7,207,بسبب,O,O,O,O
7,208,عدوى,B_MIS,B_MIS,B_MIS,B_MIS
7,209,الجهاز,I_MIS,I_MIS,I_MIS,I_MIS
7,210,العصبي,I_MIS,I_MIS,I_MIS,I_MIS
7,211,المركزي,I_MIS,I_MIS,I_MIS,I_MIS
7,212,،,O,O,O,O
7,213,يصبحون,O,O,O,O
7,214,أكثر,O,O,O,O
7,215,عرضة,O,O,O,O
7,216,لارتكاب,O,O,O,O
7,217,جرائم,O,O,O,O
7,218,عنيفة,O,O,O,O
7,219,في,O,O,O,O
7,220,وقت,O,O,O,O
7,221,لاحق,O,O,O,O
7,222,من,O,O,O,O
7,223,الحياة,O,O,O,O
7,224,.,O,O,O,O
8,225,وقالت,O,O,O,O
8,226,قوات,B_ORG,B_ORG,B_ORG,B_ORG
8,227,الأمن,I_ORG,I_ORG,I_ORG,I_ORG
8,228,البيئي,I_ORG,I_ORG,I_ORG,I_ORG
8,229,إنه,O,O,O,O
8,230,تم,O,O,O,O
8,231,القبض,O,O,O,O
8,232,عليهم,O,O,O,O
8,233,،,O,O,O,O
8,234,وتحرير,O,O,O,O
8,235,المخالفات,O,O,O,O
8,236,في,O,O,O,O
8,237,حقهم,O,O,O,O
8,238,،,O,O,O,O
8,239,ومن,O,O,O,O
8,240,ثم,O,O,O,O
8,241,تمت,O,O,O,O
8,242,إحالتهم,O,O,O,O
8,243,إلى,O,O,O,O
8,244,الجهات,O,O,O,O
8,245,المختصة,O,O,O,O
8,246,،,O,O,O,O
8,247,لاستكمال,O,O,O,O
8,248,الإجراءات,O,O,O,O
8,249,النظامية,O,O,O,O
8,250,بحقهم,O,O,O,O
8,251,،,O,O,O,O
8,252,بالتنسيق,O,O,O,O
8,253,مع,O,O,O,O
8,254,القطاعات,O,O,O,O
8,255,الأمنية,O,O,O,O
8,256,ذات,O,O,O,O
8,257,العلاقة,O,O,O,O
8,258,،,O,O,O,O
8,259,وتسليم,O,O,O,O
8,260,الكميات,O,O,O,O
8,261,المضبوطة,O,O,O,O
8,262,للجهات,O,O,O,O
8,263,المختصة,O,O,O,O
8,264,بوزارة,B_ORG,B_ORG,B_ORG,B_ORG
8,265,البيئة,I_ORG,I_ORG,I_ORG,I_ORG
8,266,والمياه,I_ORG,I_ORG,I_ORG,I_ORG
8,267,والزراعة,I_ORG,I_ORG,I_ORG,I_ORG
8,268,.,O,O,O,O
9,269,وقامت,O,O,O,O
9,270,وكالة,B_ORG,B_ORG,B_ORG,B_ORG
9,271,الشؤون,I_ORG,I_ORG,I_ORG,I_ORG
9,272,الفنية,I_ORG,I_ORG,I_ORG,I_ORG
9,273,والخدمية,I_ORG,I_ORG,I_ORG,I_ORG
9,274,برئاسة,O,B_ORG,B_ORG,B_ORG
9,275,شؤون,O,I_ORG,I_ORG,I_ORG
9,276,الحرمين,B_LOC,I_ORG,I_ORG,I_ORG
9,277,الشريفين,I_LOC,I_ORG,I_ORG,I_ORG
9,278,،,O,O,O,O
9,279,ممثلة,O,O,O,O
9,280,في,O,O,O,O
9,281,إدارة,O,B_ORG,B_ORG,B_ORG
9,282,سقيا,B_ORG,I_ORG,I_ORG,I_ORG
9,283,زمزم,I_ORG,I_ORG,I_ORG,I_ORG
9,284,،,O,O,O,O
9,285,بتوزيع,O,O,O,O
9,286,عبوات,O,O,O,O
9,287,ماء,N,O,B_MIS,B_MIS
9,288,زمزم,N,B_MIS,I_MIS,I_MIS
9,289,للفئات,O,O,O,O
9,290,المسموح,O,O,O,O
9,291,لها,O,O,O,O
9,292,بالعمرة,O,O,O,O
9,293,والصلاة,O,O,O,O
9,294,في,O,O,O,O
9,295,المسجد,B_LOC,B_LOC,B_LOC,B_LOC
9,296,الحرام,I_LOC,I_LOC,I_LOC,I_LOC
9,297,،,O,O,O,O
9,298,وفق,O,O,O,O
9,299,ما,O,O,O,O
9,300,جاء,O,O,O,O
9,301,في,O,O,O,O
9,302,الإجراءات,O,O,O,O
9,303,الاحترازية,O,O,O,O
9,304,التي,O,O,O,O
9,305,طبقتها,O,O,O,O
9,306,حكومتنا,B_ORG,O,O,O
9,307,الرشيدة,O,O,O,O
9,308,،,O,O,O,O
9,309,لمنع,O,O,O,O
9,310,انتشار,O,O,O,O
9,311,فيروس,O,B_MIS,B_MIS,B_MIS
9,312,كورونا,B_MIS,I_MIS,I_MIS,I_MIS
9,313,المستجد,O,O,I_MIS,I_MIS
9,314,.,O,O,O,O
10,315,وما,O,O,O,O
10,316,يخالف,O,O,O,O
10,317,هذا,O,O,O,O
10,318,الاعتقاد,O,O,O,O
10,319,الذي,O,O,O,O
10,320,عليه,O,O,O,O
10,321,المسلمون,N,O,O,O
10,322,منذ,O,O,O,O
10,323,زمن,O,O,O,O
10,324,النبوة,O,O,O,O
10,325,وحتى,O,O,O,O
10,326,يوم,O,O,O,O
10,327,الناس,O,O,O,O
10,328,هذا,O,O,O,O
